0.00 3.40	>ENV:   	((DOOR_OPENS)) <<TALK
1199.63 1199.88	REBECCA: 	and,
1199.88 1200.58	        	(H) sh- --
1200.58 1201.82	        	cause she had testified,
1201.82 1203.93	        	.. when he walked in initially and he looked at me,
1203.93 1204.93	        	... <PAR ~Walter ~Munson PAR>,
1204.93 1205.48	        	.. she said,
1205.48 1207.68	        	(H) I ... I .. knew he was a pervert,
1207.68 1208.88	        	.. just by the way he looked at me.
1208.88 1209.28	RICKIE: 	Oh=[=].
1209.03 1211.15	REBECCA: 	   [(H)] So this man walked up to him and he said,
1211.15 1212.20	        	<Q I'm standing close to you,
1212.20 1212.85	        	I'm looking at you,
1212.85 1213.90	        	does that make me a pervert Q>?
1213.90 1214.27	RICKIE: 	Mhm.
1214.27 1215.15	REBECCA: 	(H) A=nd,
1215.15 1215.45	        	.. uh,
1215.45 1216.70	        	.. just badgered her,
1216.70 1217.20	RICKIE: 	A[w=].
1216.80 1219.05	REBECCA: 	 [but thi]s .. this attorney [2is not2] like that at all.
1218.18 1218.47	RICKIE: 	                             [2(SNIFF)2]
1219.05 1219.32	        	[3<P Okay P>3].
1219.05 1220.03	REBECCA: 	[3He'll be3] very polite,
1220.03 1221.14	        	(H)[4=4] u=m,
1220.23 1220.48	RICKIE: 	   [4<WH Mhm WH>4],
1221.14 1223.64	REBECCA: 	... (TSK) he's going to try and focus more on,
1223.64 1224.69	        	(H) ... uh=,
1224.69 1225.54	        	.. discrepancies,
1225.54 1226.74	        	like if you testify to one thing,
1226.74 1228.67	        	and there's something written differently in the report.
1228.67 1228.99	RICKIE: 	Unhunh.
1228.99 1230.04	REBECCA: 	He might say well=,
1230.04 1230.49	        	.. you know,
1230.49 1231.69	        	... in [your],
1231.49 1231.69	RICKIE: 	       [(SNIFF)]
1231.69 1233.64	REBECCA: 	in the report it says that you=,
1233.64 1234.44	        	.. um=,
1234.44 1235.59	        	... you know,
1235.59 1236.54	        	.. he sat dow=n,
1236.54 1237.99	        	... right across from you,
1237.99 1238.34	RICKIE: 	[Mhm].
1237.99 1238.74	REBECCA: 	[imm]ediately.
1238.74 1239.36	RICKIE: 	[2Oh okay2].
1238.74 1239.50	REBECCA: 	[2as opposed to wal2]king,
1239.50 1240.30	        	or some[3thing like3] that.
1239.85 1240.15	RICKIE: 	       [3Okay3].
1240.30 1241.10	REBECCA: 	which it doesn't but,
1241.10 1241.45	RICKIE: 	[Okay].
1241.10 1242.01	REBECCA: 	[(H)] u=m,
1242.01 1243.66	        	he's gonna try and focus on little things,
1243.66 1244.76	        	cause that's all he can do.
1244.76 1245.21	RICKIE: 	[Okay].
1244.76 1245.71	REBECCA: 	[(H)] But,
1245.71 1246.01	RICKIE: 	[2(SNIFF)2]
1245.71 1248.01	REBECCA: 	[2for the2] most part he'll be .. polite .. and gentle.
1248.01 1248.46	RICKIE: 	Okay.
1248.46 1250.11	REBECCA: 	.. So you don't have to worry about him.
1250.11 1250.51	RICKIE: 	.. Hm.
1250.51 1251.81	REBECCA: 	(H) U=m,
1251.81 1255.40	        	... (TSK) ... what hap- --
1255.40 1257.99	        	well tell me about the ... year ago incident.
1257.99 1258.60	RICKIE: 	.. U=m,
1258.60 1260.35	        	.. that one was at night time.
1260.35 1261.60	        	... And,
1261.60 1261.85	        	um,
1261.85 1262.95	        	I was working la=te,
1262.95 1263.95	        	and it was around,
1263.95 1266.25	        	.. (H) I remember I used to get off ar- around nine,
1266.25 1267.50	        	and I used to get to um,
1267.50 1269.65	        	.. (H) the Bart station around ten o'clock?
1269.65 1270.85	        	... A=nd,
1270.85 1273.05	        	... he would be= %,
1273.05 1273.80	        	.. I think,
1273.80 1274.50	        	.. <P I'm trying to think,
1274.50 1275.45	        	would he get o=n,
1275.45 1276.60	        	or would he already be on P>.
1276.60 1277.90	        	(H) Well that's the Daly City one,
1277.90 1279.55	        	so he would .. get on,
1279.55 1280.45	        	.. when I would get on,
1280.45 1281.95	        	but I think .. probably like a different car,
1281.95 1282.21	        	and,
1282.21 1282.91	        	.. same thing,
1282.91 1283.57	        	.. exact,
1283.57 1284.17	        	identical.
1284.17 1285.12	        	(H) Go up and down the aisles,
1285.12 1285.37	        	but,
1285.37 1285.62	REBECCA: 	(SNIFF)
1285.62 1287.42	RICKIE: 	I would be the only one in the train.
1287.42 1287.77	        	.. You know,
1287.77 1290.12	        	because at night time there's not many people on there,
1290.12 1290.52	        	and,
1290.52 1291.92	        	(H) .. he would do that,
1291.92 1292.67	        	and I was,
1292.67 1294.47	        	... I was terrified then,
1294.47 1295.62	        	because I was the only one,
1295.62 1296.87	        	@there was n=o one around.
1296.87 1297.17	REBECCA: 	Yeah.
1297.17 1297.79	RICKIE: 	I%%,
1297.79 1298.52	        	.. you know,
1298.52 1300.69	        	I was a little scar=ed this time but,
1300.69 1301.89	        	(H) % .. you know,
1301.89 1302.94	        	but there's people around,
1302.94 1303.19	        	like,
1303.19 1303.52	        	.. you know,
1303.52 1305.19	        	I don't think he would do anythi=ng,
1305.19 1306.27	        	... when people are around.
1306.27 1306.65	REBECCA: 	[Right].
1306.27 1306.65	RICKIE: 	[You know],
1306.65 1308.15	        	down at the other seat[2s or <X in2] back X>,
1307.69 1307.94	REBECCA: 	                      [2Right2].
1308.15 1309.17	RICKIE: 	I could scream but,
1309.17 1309.60	        	.. (H)
1309.60 1309.90	REBECCA: 	Yeah.
1309.90 1312.20	RICKIE: 	.. %at night time he was doing the same thing,
1312.20 1313.65	        	and I called that night,
1313.65 1315.45	        	... to= .. the Bart poli=ce,
1315.45 1317.50	        	and I told them what he looked li=ke,
1317.50 1318.25	        	and everything,
1318.25 1318.55	        	and,
1318.55 1320.45	        	(H) I never heard anything again.
1320.45 1320.90	        	.. [So],
1320.67 1321.22	REBECCA: 	   [O]kay.
1321.22 1322.46	        	(H) [2u=m2],
1321.81 1322.46	RICKIE: 	    [2(SNIFF)2]
1322.46 1324.46	REBECCA: 	.. Did he use a newspaper that time al[3so3]?
1324.23 1324.83	RICKIE: 	                                      [3M3]hm.
1324.83 1325.88	REBECCA: 	So identi[4ca=l4],
1325.55 1326.15	RICKIE: 	         [4Every4]thing.
1326.15 1326.53	        	Yeah[=].
1326.37 1326.61	REBECCA: 	    [Ok]ay.
1326.61 1327.66	RICKIE: 	And then I even told them,
1327.66 1328.21	        	I said,
1328.21 1329.66	        	... (H) and the funny thing is,
1329.66 1330.11	        	he just --
1330.11 1331.81	        	.. the only thing he changed this time,
1331.81 1332.46	        	is um,
1332.46 1332.71	        	(SNIFF)
1332.71 1334.06	        	he wore a new bow tie,
1334.06 1335.56	        	and uh a different bag (hx),
1335.56 1337.11	        	.. cause he always had a ba=g,
1337.11 1337.66	        	.. cause the,
1337.66 1339.94	        	.. (H) what made <X the .. interested X> in this case,
1339.94 1340.59	        	they s- told me,
1340.59 1341.14	        	(H) well,
1341.14 1342.74	        	.. everyone's telling me he has this bag,
1342.74 1343.74	        	he carries around,
1343.74 1344.99	        	and he has a bowtie,
1344.99 1345.31	        	like that,
1345.31 1345.81	        	and I [go],
1345.46 1345.81	REBECCA: 	      [Yeah].
1345.81 1346.86	RICKIE: 	.. that's the only difference,
1346.86 1348.61	        	he had a different bag this time a year later,
1348.61 1349.66	        	and a different bow tie.
1349.66 1350.06	REBECCA: 	[Yeah].
1349.66 1351.16	RICKIE: 	[(H)] (SNIFF) And they were like <Q okay Q>,
1351.16 1351.61	        	you know,
1351.61 1353.51	REBECCA: 	Now the bag that he was carrying around this time,
1353.51 1354.01	        	what was it.
1354.01 1355.26	RICKIE: 	... M=,
1355.26 1356.31	        	.. let me see,
1356.31 1356.96	        	I think,
1356.96 1358.01	        	... a duffel bag?
1358.01 1359.01	        	.. I [th=ink],
1358.46 1359.01	REBECCA: 	     [Okay].
1359.01 1359.36	RICKIE: 	(H)
1359.36 1359.71	REBECCA: 	Okay.
1359.71 1360.71	RICKIE: 	One time it was a duffel bag,
1360.71 1361.86	        	and then one time it was like a,
1361.86 1363.71	        	... <P %uh,
1363.71 1364.41	        	what do you [call them] P>.
1363.96 1364.41	REBECCA: 	            [(THROAT)]
1364.41 1365.16	RICKIE: 	.. Like a sh=-,
1365.16 1366.71	        	.. like a .. [old be-,
1365.96 1366.86	REBECCA: 	             [Shopping bag]?
1366.71 1367.20	RICKIE: 	Yeah]=.
1367.20 1368.05	        	a shopping [bag].
1367.55 1368.17	REBECCA: 	           [a plas]tic,
1368.17 1368.60	RICKIE: 	Yeah[=].
1368.40 1368.76	REBECCA: 	    [Yeah]=,
1368.76 1369.10	RICKIE: 	Mhm.
1369.10 1370.35	REBECCA: 	.. That's his common one,
1370.35 1371.69	        	.. plastic bag [filled] with paper[2s2].
1370.89 1371.24	RICKIE: 	               [Okay].
1371.64 1372.19	        	                                  [2Y2]eah (Hx).
1372.19 1373.00	REBECCA: 	... Yeah,
1373.00 1375.34	        	in this one you say he's carrying a sho- a= duffel bag,
1375.34 1376.14	RICKIE: 	A duffel [bag okay].
1375.66 1376.24	REBECCA: 	         [(H) Ok]ay,
1376.24 1376.94	        	so you wanna,
1376.94 1378.54	        	Have you read through your statement recently?
1378.54 1378.94	RICKIE: 	N=o.
1378.94 1379.84	REBECCA: 	Do you wanna read through it?
1379.84 1380.14	RICKIE: 	Yeah.
1380.14 1380.89	REBECCA: 	(H) Okay.
1380.89 1382.24	RICKIE: 	(SNIFF) Okay,
1382.24 1384.29	ARNOLD: 	... (STRETCH)[= (Hx)]=
1383.39 1383.84	RICKIE: 	             [<P hm= P>],
1384.29 1384.79	ARNOLD: 	(SNIFF)
1384.79 1390.04	        	... %% [2(Hx)2]= (Hx)=
1386.24 1386.69	RICKIE: 	       [2(SNIFF)2]
1390.04 1392.74	REBECCA: 	... (H) Now you can't do anything to this guy.
1392.74 1393.74	        	.. [@][2@@@2]
1393.04 1393.94	RICKIE: 	   [@][2@@@2][3@3]
1393.29 1393.74	ARNOLD: 	      [2Oh I'm not2],
1393.74 1394.84	        	             [3I'm just3] <X gonna sit back [4and look X>4].
1394.39 1395.19	REBECCA: 	                                            [4@@@4]@
1395.19 1395.94	RICKIE: 	.. M=[5hm5],
1395.59 1396.29	ARNOLD: 	     [5I'm a little worried5] about her,
1396.29 1397.79	        	cause she has them anxiety attacks.
1397.79 1398.04	RICKIE: 	X
1398.04 1398.59	REBECCA: 	(THROAT)
1398.59 1400.39	ARNOLD: 	.. She just don't have no control over her body.
1400.39 1402.24	RICKIE: 	... (SNIFF) <WH Tr=[ain WH>],
1401.29 1403.59	JUNE:   	                   [When] will the ... verdict be.
1403.59 1404.79	REBECCA: 	...(TSK) (H) U=m,
1404.79 1405.14	        	.. well,
1405.14 1405.84	        	it depends.
1405.84 1407.94	        	.. Uh% .. you two are my last witnesses,
1407.94 1409.59	        	.. and then the defendant will t[esti]fy.
1409.01 1409.21	RICKIE: 	                                [(SNIFF)]
1409.59 1410.64	REBECCA: 	.. (H) And then,
1410.64 1412.19	        	we could do closing arguments today,
1412.19 1413.39	        	or it could be tomorrow.
1413.39 1414.59	        	... And then,
1414.59 1417.14	        	... w- we should have a verdict by Friday afternoon.
1417.14 1417.64	RICKIE: 	.. O[kay].
1417.34 1418.69	REBECCA: 	    [No la]ter than Friday afternoon.
1418.69 1420.14	        	.. So I'll call all of you and tell you.
1420.14 1420.51	        	.. [(H)]
1420.32 1421.72	JUNE:   	   [Is] he gonna take the stand?
1421.72 1422.92	REBECCA: 	(H) He says so.
1422.92 1423.62	        	... Mhm.
1423.62 1425.82	JUNE:   	H- What could he <BR @possibly ... [say BR>]?
1425.47 1427.47	REBECCA: 	                                   [(H)] He testified in a trial,
1427.47 1428.07	        	... u=m,
1428.07 1429.67	        	... about five years ago.
1429.67 1431.67	        	Sa- identical ... situa[tion,
1431.47 1431.97	RICKIE: 	[R=eally],
1431.67 1432.82	REBECCA: 	(H)] and he said,
1432.82 1433.72	        	.. his testimony was,
1433.72 1435.87	        	my momma didn't raise me to do things like this.
1435.87 1437.82	        	... He [totally] denied it.
1436.82 1437.27	RICKIE: 	       [Mhm].
1437.92 1439.02	REBECCA: 	... So.
1439.02 1439.67	RICKIE: 	@So-,
1439.67 1441.22	        	.. (H) cause I was just telling him,
1441.22 1442.97	        	the same thing happened to my mom.
1442.97 1443.27	        	.. (H)
1443.27 1443.79	REBECCA: 	Oh reall[y]?
1443.68 1444.19	RICKIE: 	        [Y]eah=.
1444.19 1444.74	        	[2She was2] --
1444.19 1444.89	REBECCA: 	[2Was it hi2]m?
1444.89 1445.69	RICKIE: 	.. I don't know.
1445.69 1446.74	        	She just told me that,
1446.74 1447.44	        	(H) you know,
1447.44 1448.79	        	it was a long time ago,
1448.79 1449.99	        	.. you're [saying f]ive years ago,
1448.94 1449.29	REBECCA: 	          [Yeah].
1449.99 1451.34	RICKIE: 	it was around that time,
1451.34 1452.24	        	and she told me,
1452.24 1453.54	        	(H) but he used to=,
1453.54 1454.69	        	... I don't know,
1454.69 1456.59	        	% she she didn't say anything newspaper whatever,
1456.59 1456.84	        	but,
1456.84 1457.34	        	he would,
1457.34 1459.44	        	... % do .. finish the job.
1459.44 1459.94	REBECCA: 	[Oh=].
1459.44 1460.14	RICKIE: 	[Everythi]ng,
1460.14 1460.84	        	you know,
1460.84 1461.34	        	a[nd],
1461.09 1461.34	REBECCA: 	 [Oh].
1461.34 1462.44	RICKIE: 	(H) so=,
1462.44 1462.64	        	but,
1462.64 1463.77	        	she said she reported it,
1463.79 1465.19	        	and no one ever did anything.
1465.19 1466.74	REBECCA: 	(H) They're hard cases,
1466.74 1467.09	        	.. um,
1467.09 1467.74	        	.. to act [on,
1467.56 1467.96	RICKIE: 	          [Mhm].
1467.74 1470.81	REBECCA: 	and I] think the reason why they finally .. started .. acting on these,
1470.81 1472.61	        	and .. getting .. the identificatio[n,
1472.51 1472.86	RICKIE: 	                                   [Mhm].
1472.61 1474.36	REBECCA: 	was be]cause so many of em were coming in.
1474.36 1474.86	RICKIE: 	Oh=,
1474.86 1475.26	        	okay.
1475.26 1480.93	REBECCA: 	.. (TSK) (H) (THROAT) ... (TSK) Do you have any questions ~June?
1480.93 1481.98	ARNOLD: 	... (YAWN)
1481.98 1483.03	JUNE:   	... No.
1483.03 1483.53	REBECCA: 	.. Okay.
1483.53 1484.98	        	... (H) U=m,
1485.43 1490.29	REBECCA: 	... I'm going to put ~June on first,
1490.29 1491.59	RICKIE: 	... Okay.
1491.59 1492.54	REBECCA: 	.. and then,
1492.54 1496.44	        	... (H)= then ~Rickie (Hx).
1496.44 1505.16	JUNE:   	... And then will you let us know what the final verdict [is]?
1504.60 1505.16	REBECCA: 	                                                         [Yes].
1505.16 1506.21	RICKIE: 	... <P Hm[2= P>2].
1505.66 1506.21	REBECCA: 	         [2Definitely2].
1506.21 1507.96	        	... Hopefully it's good news.
1507.96 1511.16	        	... (H) ... If it's not,
1511.16 1511.76	        	.. I'll be bummed.
1511.76 1512.41	        	@@
1512.41 1512.78	JUNE:   	[@(Hx)]
1512.41 1515.19	REBECCA: 	[(H)] Cause I've been living with this case now for so long,
1515.39 1516.89	        	(H) .. (THROAT)
1516.89 1524.59	        	...
