0.00 6.52	JAMIE:  	How [can you teach a three-year-old to] ta=p [2dance2].
1156.75 1158.56	        	she was d- all kind of suggestive stuff,
1158.56 1159.53	        	and touching him and everything,
1159.53 1161.06	        	.. people would like ... cheering,
1161.12 1161.26	        	((CLAP))
1161.06 1161.80	        	and clapping,
1161.80 1162.43	        	.. <Q go for it Q>.
1162.43 1163.78	        	And all this kind of ... <HI thing HI>?
1163.78 1165.40	        	.. The- .. the song ended,
1165.40 1166.50	        	.. the guy set dow=n,
1166.50 1167.60	        	.. at another table.
1167.60 1169.30	        	.. And she .. set dow=n,
1169.30 1170.72	JAMIE:  	... [at a-] --
1170.41 1171.66	MILES:  	    [at the table] with her woman friend.
1171.66 1173.26	        	They never danced again the rest of the even[2ing2].
1173.01 1173.36	HAROLD: 	                                            [2Hm2].
1173.36 1174.30	MILES:  	... This is like,
1174.30 1177.27	JAMIE:  	... @@[@@] @=
1175.77 1176.42	PETE:   	      [@@@]
1177.27 1177.99	JAMIE:  	@@@
1177.99 1178.14	PETE:   	@
1178.14 1178.89	MILES:  	so I was thinking,
1178.89 1181.99	        	this woman's sitting ... about as far away from me as ~Jamie is.
1181.99 1182.84	        	(H) And I was thinking,
1182.84 1182.99	        	hm,
1182.99 1183.89	        	this is interesting.
1183.89 1187.19	        	(H) I wonder how long it was gonna take the guys in this club to move in on her.
1187.19 1189.24	        	... No sooner did I think this thought,
1189.24 1190.09	        	guys were over there,
1190.09 1190.24	        	(H)
1190.24 1190.54	HAROLD: 	.. What-,
1190.54 1192.14	        	.. you didn't ask her to da=nce?
1192.14 1193.19	JAMIE:  	... Not ~Miles,
1193.19 1194.24	        	[he's just <X in daze X>].
1193.19 1194.76	MILES:  	[Well I was still trying to] figure out,
1194.76 1195.56	JAMIE:  	... @
1195.56 1196.86	MILES:  	surely they must know each other,
1196.86 1197.21	        	I mean,
1197.21 1198.71	        	.. [why wasn't he sitting at] [2her table2],
1197.26 1198.01	JAMIE:  	   [(H) <@ You mean,
1198.01 1199.53	        	you were][2still2] thinking about it @>.
1198.18 1198.73	PETE:   	                              [2@@@2]
1199.53 1199.86	JAMIE:  	(H)
1199.86 1200.51	MILES:  	Anyway,
1200.51 1201.46	        	.. this guy=,
1201.46 1201.76	JAMIE:  	(H)
1201.76 1203.56	MILES:  	..% ..% .. I mean he comes over there,
1203.56 1204.91	        	.. immediately afterwards,
1204.91 1206.36	JAMIE:  	the same guy who got his --
1206.36 1207.71	        	... [the same guy who's] --
1207.03 1207.28	HAROLD: 	    [No,
1207.28 1208.56	        	it's just some] [2random guy2].
1207.72 1209.17	JAMIE:  	                [2Or just some random2] [3guy3].
1207.94 1208.29	MILES:  	                [2No,
1208.29 1209.12	        	a2] [3random3] guy.
1209.12 1210.67	        	.. who was like sitting about where you are.
1210.67 1211.07	HAROLD: 	.. Yeah,
1211.07 1211.92	MILES:  	.. He was sitting there,
1211.92 1213.87	        	there were two guy=s sitting at a table right where you are.
1213.87 1215.12	        	.. And then these two women are sitting here.
1215.12 1216.12	        	(H) So= uh=,
1216.12 1216.87	        	he comes over there,
1216.87 1217.92	        	and is talking with that woman.
1217.92 1218.72	        	.. I don't know about what,
1218.72 1220.07	        	but then like ten minutes later,
1220.07 1222.22	        	... she and her friend are over at their table.
1222.22 1223.12	        	... And then,
1223.12 1224.17	        	... twenty minutes later,
1224.17 1226.27	        	they were kinda like .. all over each other.
1226.27 1226.77	        	You know.
1226.77 1227.67	        	... kissing,
1227.67 1228.07	        	et cetera,
1228.07 1228.57	        	et cetera.
1228.57 1229.62	        	(H) And I was thinking,
1229.62 1230.22	        	it looks like,
1230.22 1231.92	        	.. these people aren't going home alone tonight.
1231.92 1232.37	        	@@
1232.37 1234.36	HAROLD: 	... Go[sh,
1234.11 1234.96	MILES:  	      [But I just thought that] --
1234.36 1236.26	HAROLD: 	no wonder] they forbid this dance.
1236.26 1243.70	        	((J,_M,_P_LAUGHING_7.8_SEC))
1243.70 1244.23	MILES:  	[So],
1243.96 1245.36	JAMIE:  	[(H)] <@ Oh= my God @>,
1245.36 1246.11	        	what a story.
1246.11 1247.53	        	... Well,
1247.53 1248.88	        	.. maybe I shouldn't go there then.
1248.88 1249.95	HAROLD: 	... Yeah,
1249.95 1250.75	        	maybe [you @shouldn't @@].
1250.35 1251.60	MILES:  	      [It- it-] it was interesting.
1251.60 1252.25	JAMIE:  	(TSK) (H) No=,
1252.25 1253.05	        	.. I <X went X> there before,
1253.05 1253.75	        	it was fine.
1253.75 1254.80	        	.. it was [really fun].
1253.92 1255.32	HAROLD: 	          [You were the=re] before?
1255.32 1255.77	JAMIE:  	Yeah=.
1255.77 1256.97	        	.. I went out there before.
1256.97 1257.42	HAROLD: 	.. Oh.
1257.42 1258.37	PETE:   	Without even telling ~Harold?
1258.37 1259.27	HAROLD: 	.. Without telling me?
1259.27 1260.17	JAMIE:  	%% You knew.
1260.17 1261.32	        	.. <X If X> [I] was going out dancing?
1260.34 1260.59	HAROLD: 	            [Oh].
1261.32 1261.72	        	.. Oh.
1261.72 1262.67	        	.. [I did]?
1262.04 1263.59	JAMIE:  	   [Remember a few months] ago I used to go out dancing?
1263.59 1264.34	        	.. every now and then?
1264.34 1264.59	HAROLD: 	Hm-m,
1264.59 1265.34	        	I don't remember.
1265.34 1267.29	MILES:  	... Well the thing that gets me,
1267.29 1269.35	        	... I meet [this=] --
1268.79 1269.40	JAMIE:  	           [to Caesar's],
1269.40 1269.70	        	and stuff?
1269.70 1273.92	MILES:  	... (SNIFF) (CLICK) (CLICK) (CLICK) .. I meet this psychotherapist.
1273.92 1278.99	        	... who tells me she's addicted to this dance.
1278.99 1279.49	        	which I th=- --
1279.49 1282.24	        	think is a ... interesting choice of words for a psychotherapist to use.
1282.24 1283.74	        	(H) ... But uh,
1283.74 1285.27	        	... she's marrie=d,
1285.27 1287.37	        	and apparently she's there= .. without her husband.
1287.37 1289.88	        	... She has her wedding ring on.
1289.88 1293.37	        	... And it's like she's with this guy=,
1293.37 1295.22	        	and they're kinda like all over each other (Hx).
1295.22 1295.72	        	.. And I'm thinking,
1295.72 1296.37	        	we=ll,
1296.37 1297.82	        	... I guess that's her husband,
1297.82 1299.81	JAMIE:  	.. Uh-oh [did you] say @something?
1298.71 1299.06	MILES:  	         [but I-] --
1299.81 1300.31	JAMIE:  	@@
1300.31 1301.31	MILES:  	but I was thinking,
1301.31 1302.56	        	(H) but the thing is,
1302.56 1304.86	        	... you know she's kind of all sophisticated and everything,
1304.86 1305.41	        	and I'm thinking,
1305.41 1305.61	        	you know,
1305.61 1306.06	        	this guy %,
1306.06 1308.31	        	%= I can't .. really believe that guy's her husband.
1308.31 1309.61	        	So I don't know what's going on here.
1309.61 1312.01	        	... And of course later on I find out,
1312.01 1313.11	        	.. that's not her husband.
1313.11 1316.46	        	... (H) ... <%<HI So=,
1316.46 1317.16	        	I'm thinking,
1317.16 1317.46	        	you know HI>%>,
1317.46 1318.86	        	I don't know what's going on here.
1318.86 1320.01	        	@@ (H) @
1320.01 1321.16	        	(H) But uh=,
1321.16 1323.31	        	... %= (Hx)
1323.31 1324.04	        	.. bizarre.
1324.04 1324.74	JAMIE:  	Gossip.
1324.74 1326.69	MILES:  	... But then she tells me,
1326.69 1328.84	        	.. gee I don't know what it is about this guy I mean,
1328.84 1332.09	        	(H) I've been trying to tell him I don't want a sexual relationship with him,
1332.09 1332.84	        	and I'm thinking,
1332.84 1334.87	        	... from the way they look,
1334.87 1336.07	        	when I'd seen them three weeks before,
1336.07 1337.72	        	it looked to me like they ha=d @one.
1337.72 1338.60	        	@@@
1338.60 1338.95	        	I'm thinking,
1338.95 1339.95	        	you don't [do] that with- --
1339.20 1339.45	JAMIE:  	          [So] --
1339.95 1341.05	        	This is all [2at Bahia2]?
1340.35 1341.10	MILES:  	            [2strangers2].
1341.10 1342.40	JAMIE:  	All this stuff happens at [3Bahia3].
1341.87 1342.22	MILES:  	                          [3Yeah3].
1342.40 1342.75	JAMIE:  	Hunh?
1342.75 1345.00	MILES:  	... To %other people I mean.
1345.00 1354.92	        	((H,_J,_P_LAUGHING_8.0_SEC))
1354.92 1356.83	JAMIE:  	(H)= (Hx)
1356.83 1357.33	        	... [We=ll],
1357.08 1357.33	MILES:  	    [X],
1357.33 1358.23	JAMIE:  	I mean maybe= --
1358.23 1360.03	HAROLD: 	.. That was @actually very profou=nd.
1360.03 1360.53	JAMIE:  	<@ Yeah,
1360.53 1361.53	        	@@ that was @>.
1361.53 1362.33	        	@@ (H)
1362.33 1363.34	        	Maybe you can just go up to a woman,
1363.34 1363.59	        	and,
1363.59 1363.84	        	you know,
1363.84 1364.70	        	do that kinda thing.
1364.70 1365.19	HAROLD: 	Yeah=.
1365.19 1365.59	        	You @ --
1365.59 1366.79	        	You wind up [getting] punched,
1365.99 1366.29	PETE:   	            [Mhm],
1366.79 1367.54	HAROLD: 	is what'll [2happen2].
1367.16 1367.56	JAMIE:  	           [2@2]
1367.56 1368.11	        	Probably,
1368.11 1369.26	        	.. [something'll land in your mouth].
1367.96 1368.06	PETE:   	   [Well,
1368.06 1369.46	        	it sounds like there you wouldn't be] though.
1369.46 1369.91	JAMIE:  	(H)
1369.91 1370.19	        	What?
1370.19 1370.44	MILES:  	Yeah,
1370.44 1370.84	        	right.
1370.84 1371.82	        	@
1371.82 1373.35	JAMIE:  	.. (H)=
1373.35 1374.05	MILES:  	I really=,
1374.05 1375.40	        	was wondering what that guy was thinking.
1375.40 1375.85	        	He must have been --
1375.85 1376.85	        	j- since he didn't know her,
1376.85 1378.28	        	.. <HI that must have been [quite a shock] HI>.
1377.44 1378.54	JAMIE:  	                           [That was really] wei=rd.
1378.54 1379.59	        	.. That sounds [2really weird2].
1379.01 1379.41	MILES:  	               [2I mean,
1379.41 1379.69	        	you're2] --
1379.69 1381.24	        	y- y- fifty year old guy,
1381.24 1381.49	        	and,
1381.49 1383.99	        	.. some .. twenty-year-old woman comes up doing that to you,
1383.99 1384.14	        	uh,
1384.14 1385.04	        	<HI what do you think HI>.
1385.04 1385.69	        	(H)
1385.69 1387.70	HAROLD: 	... I think you think,
1387.70 1388.90	        	you better go back to your table,
1388.90 1389.45	        	fa=st.
1389.45 1389.90	PETE:   	Ri=ght.
1389.90 1390.80	HAROLD: 	.. Apparently.
1390.80 1396.02	JAMIE:  	... @@
1396.02 1398.22	HAROLD: 	.. I'll f- I'll tell you when I'm fifty what you think,
1398.22 1398.67	        	okay?
1398.67 1399.37	JAMIE:  	(Hx)
1399.37 1399.72	MILES:  	@@
1399.72 1403.17	JAMIE:  	(THROAT) ... (THROAT)
1403.17 1404.53	MILES:  	... Mhm.
1404.53 1405.74	HAROLD: 	... What?
1405.74 1406.99	JAMIE:  	<X That'll X> be weird when you're fifty.
1406.99 1409.24	        	... @(Hx) ... Wonder what you'll look like.
1409.24 1410.50	HAROLD: 	.. Nobody's fifty,
1410.50 1411.40	        	don't worry about it.
1411.40 1411.65	JAMIE:  	Oh,
1411.65 1411.95	        	okay.
1411.95 1412.80	        	Ha ha ha,
1412.80 1413.75	        	la lala lala.
1413.75 1415.32	        	(H)
1415.32 1419.27	MILES:  	... Oh well,
1419.27 1420.27	        	.. ten o'clock (Hx).
1420.27 1422.92	        	... Look like it's bedtime for some folks here.
1422.92 1423.27	HAROLD: 	.. Y=ep.
1423.27 1423.57	JAMIE:  	Yeah=,
1423.57 1425.62	        	actually [it's] pretty much bed time for me soon.
1423.79 1423.99	PETE:   	         [Hm].
1425.62 1427.94	HAROLD: 	... (TSK) Y=ep.
1427.94 1429.89	MILES:  	... Well that was good ice cream.
1429.89 1430.94	        	What kind of ice cream was that.
1430.94 1431.74	HAROLD: 	.. Bud's.
1431.74 1433.24	JAMIE:  	... Pralines and .. cream- --
1433.24 1433.84	        	What is it [called]?
1433.54 1434.29	MILES:  	           [But what] flavor?
1434.29 1435.33	HAROLD: 	.. Uh=,
1435.33 1436.33	        	[pecan] pra[2line=2],
1435.48 1435.73	PETE:   	[Praline-] --
1436.18 1436.48	JAMIE:  	           [2p-2] --
1436.48 1437.34	HAROLD: 	or something [3like3] that.
1436.91 1437.11	PETE:   	             [3Right3].
